hidden_size,lr,train_time_s,test_acc,test_f1
16,5e-05,26.53,0.937,0.4328
16,0.0001,17.12,0.945,0.5049
16,0.0005,22.42,0.952,0.5858
16,0.001,19.46,0.95,0.5772
16,0.005,16.77,0.95,0.6064
16,0.01,16.06,0.953,0.6557
24,5e-05,108.37,0.939,0.463
24,0.0001,85.17,0.945,0.5342
24,0.0005,83.52,0.955,0.5817
24,0.001,80.97,0.953,0.6432
24,0.005,73.27,0.951,0.6413
24,0.01,65.45,0.948,0.6139
32,5e-05,29.74,0.94,0.465
32,0.0001,25.6,0.948,0.5618
32,0.0005,27.93,0.955,0.6033
32,0.001,28.16,0.957,0.6109
32,0.005,31.33,0.952,0.6354
32,0.01,25.24,0.956,0.6652
48,5e-05,39.12,0.948,0.5581
48,0.0001,24.6,0.953,0.5852
48,0.0005,37.77,0.958,0.6205
48,0.001,44.37,0.961,0.6336
48,0.005,35.89,0.954,0.6599
48,0.01,41.82,0.944,0.6093
64,5e-05,29.77,0.949,0.5741
64,0.0001,45.0,0.951,0.5798
64,0.0005,47.95,0.959,0.6174
64,0.001,42.75,0.96,0.6296
64,0.005,48.35,0.953,0.591
64,0.01,29.9,0.952,0.5833
96,5e-05,57.7,0.952,0.5773
96,0.0001,60.5,0.954,0.5853
96,0.0005,65.5,0.959,0.6237
96,0.001,65.12,0.955,0.608
96,0.005,57.15,0.96,0.695
96,0.01,67.09,0.95,0.6308
