activation,optimizer,dropout,weight_init,train_time_s,test_acc,test_f1
relu,adagrad,0.0,default,19.09,0.951,0.577
relu,adagrad,0.0,xavier,22.7,0.951,0.5781
relu,adagrad,0.0,kaiming,26.01,0.956,0.6036
relu,adagrad,0.0,orthogonal,25.61,0.951,0.5777
relu,adagrad,0.1,default,18.42,0.949,0.5622
relu,adagrad,0.1,xavier,19.23,0.948,0.5571
relu,adagrad,0.1,kaiming,19.24,0.955,0.5983
relu,adagrad,0.1,orthogonal,18.31,0.95,0.5638
relu,adagrad,0.2,default,17.93,0.948,0.5512
relu,adagrad,0.2,xavier,21.27,0.946,0.5346
relu,adagrad,0.2,kaiming,22.6,0.955,0.5983
relu,adagrad,0.2,orthogonal,21.43,0.945,0.5328
relu,adagrad,0.3,default,19.24,0.945,0.5138
relu,adagrad,0.3,xavier,19.56,0.945,0.5307
relu,adagrad,0.3,kaiming,19.77,0.955,0.6068
relu,adagrad,0.3,orthogonal,19.24,0.946,0.536
relu,adamw,0.0,default,20.52,0.959,0.6905
relu,adamw,0.0,xavier,19.79,0.955,0.6
relu,adamw,0.0,kaiming,21.36,0.955,0.5956
relu,adamw,0.0,orthogonal,23.93,0.956,0.5996
relu,adamw,0.1,default,24.0,0.957,0.6127
relu,adamw,0.1,xavier,21.77,0.939,0.5834
relu,adamw,0.1,kaiming,21.92,0.944,0.5984
relu,adamw,0.1,orthogonal,22.07,0.948,0.6002
relu,adamw,0.2,default,22.18,0.958,0.6205
relu,adamw,0.2,xavier,21.17,0.948,0.6021
relu,adamw,0.2,kaiming,21.42,0.957,0.6286
relu,adamw,0.2,orthogonal,21.36,0.952,0.6047
relu,adamw,0.3,default,21.56,0.957,0.62
relu,adamw,0.3,xavier,24.29,0.947,0.5991
relu,adamw,0.3,kaiming,22.86,0.96,0.6318
relu,adamw,0.3,orthogonal,21.25,0.958,0.6147
relu,nadam,0.0,default,24.12,0.961,0.6915
relu,nadam,0.0,xavier,20.8,0.955,0.5955
relu,nadam,0.0,kaiming,21.1,0.956,0.602
relu,nadam,0.0,orthogonal,20.21,0.956,0.6
relu,nadam,0.1,default,21.45,0.958,0.624
relu,nadam,0.1,xavier,20.11,0.954,0.6137
relu,nadam,0.1,kaiming,20.97,0.954,0.6086
relu,nadam,0.1,orthogonal,22.08,0.954,0.6168
relu,nadam,0.2,default,19.94,0.96,0.6322
relu,nadam,0.2,xavier,21.17,0.959,0.6315
relu,nadam,0.2,kaiming,20.63,0.95,0.5951
